,count,mean,std,min,25%,50%,max,FechaMax,FechaMin,Nombre,Codigo,ceros,75mayor,75%,99mayor,99%,Ceros %,
127,19200,0.0005625,0.025160483,0,0,0,2.2,2020-10-16-23,2018-01-01-00,HUARMEY,X4AD0A030,19181,19,0,19,0,0.999010417,
128,28920,0.046085754,0.301362038,0,0,0,10.7,2021-06-30-23,2018-01-02-00,HUAROS,X4725F170,26848,2072,0,280,1.3,0.92835408,
129,1296,0.236882716,0.63647012,0,0,0,5.6,2019-04-03-23,2018-12-26-00,HUASCACOCHA,X47A0A5A6,961,270,0.1,12,3.3,0.741512346,
130,27264,0.047971684,0.545356426,0,0,0,30.6,2021-06-30-23,2018-01-02-00,HUASIMO,X472F43AC,25977,1287,0,259,1.1,0.952794894,
131,15216,0.102812829,1.047248546,0,0,0,41.3,2021-06-30-23,2018-01-02-00,HUAYABAMBA,X212600,14260,956,0,149,2.5,0.937171399,
132,9216,0.066015625,0.574842081,0,0,0,32,2019-12-27-23,2018-01-02-00,HUAYLLABAMBA,X4727C11E,8500,716,0,92,1.4,0.922309028,
133,25032,0.108848674,0.440247279,0,0,0,15.5,2021-06-30-23,2018-01-02-00,HUAYTAPALLANA,X472DF5D6,21746,3286,0,221,2,0.868728028,
134,22680,0.196931217,1.742287641,0,0,0,71.1,2020-09-30-23,2018-01-01-00,I?APARI,X472587E0,21674,1006,0,223,5.7,0.955643739,
135,25368,0.078283664,0.470767509,0,0,0,12.7,2021-06-30-23,2018-01-01-00,ILAVE,X472E112A,23448,1920,0,252,2.2,0.924314096,
136,22536,0.057073127,0.430384297,0,0,0,15.6,2021-06-30-23,2018-01-02-00,ILLPA,X472E4156,21265,1271,0,225,1.7,0.943601349,
137,27624,0.05539748,0.326200563,0,0,0,8,2021-06-30-23,2018-01-02-00,IMATA,X47E3834A,25504,2120,0,275,1.6,0.92325514,
138,0,,,,,,,,,INIA CANAAN,X472AD10E,0,0,,0,,#DIV/0!,
139,2136,0.141292135,0.974820715,0,0,0,32.6,2021-06-29-23,2018-01-02-00,INTIHUATANA H,X472935F2,1869,267,0,22,2.53,0.875,
140,25440,0.198632075,0.968515577,0,0,0,26.6,2021-06-30-23,2018-01-03-00,INTIHUATANA M,X472852EE,21615,3825,0,251,4.4,0.849646226,
141,10104,0.121159937,0.528161311,0,0,0,12.4,2020-03-20-23,2019-01-01-00,ISCAHUACA,X114128,8944,1160,0,96,2.6,0.885193983,
